web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,how-to-book,book-link,book-link-href,terms,terms-link,terms-link-href
"1594348485-156","https://www.holidayhk.com/en-hk/food-and-drink/","Feng Chia Market50% OFF50% off on Dan Dan NoodleQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1142/","Feng Chia Market","50% off on Dan Dan Noodle","Original Price HK$56","/media/offer/Dine_1142_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Feng Chia Market
Address: Shop 11, Ngong Ping Themed Village, Ngong Ping 360, Lantau Island, Hong Kong 
Tel: +852 2752 6009","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1142_tnc.pdf"
"1594348346-91","https://www.holidayhk.com/en-hk/food-and-drink/","Obihiro HagetenCASH REBATEEnjoy HK$80 cash rebate upon purchase of HK$600 in single transaction","https://www.holidayhk.com/en-hk/food-and-drink/food1202/","Obihiro Hageten","Enjoy HK$80 cash rebate upon purchase of HK$600 in single transaction","null","/media/offer/Dine_1202_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address 
Obihiro Hageten
Address: Shop 2103-05, 2/F, Elements, 1 Austin Road West, Tsim Sha Tsui, Kowloon, Hong Kong 
Tel: +852 2196 8310","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1202_tnc.pdf"
"1594348317-80","https://www.holidayhk.com/en-hk/food-and-drink/","Golden Fortune Restaurant50% OFF50% off on Steamed Grouper (around catty)","https://www.holidayhk.com/en-hk/food-and-drink/food1137/","Golden Fortune Restaurant","50% off on Steamed Grouper (around catty)","Original Price HK$198","/media/offer/Dine_1137_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Golden Fortune Restaurant
Address: Shop B1, B/F, Home World (Site 12), The Whampoa, Hung Hom, Kowloon, Hong Kong 
Tel: +852 2253 1113","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1137_tnc.pdf"
"1594348508-167","https://www.holidayhk.com/en-hk/food-and-drink/","Seventh Son Restaurant - The Wharney Guang Dong Hotel HKBUY 1 GET 1 FREE50% discount on Barbecued Pork with Honey Sauce (dine-in only)Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0026/","Seventh Son Restaurant - The Wharney Guang Dong Hotel HK","50% discount on Barbecued Pork with Honey Sauce (dine-in only)","Original price:  HK$300","/media/offer/EN_Dine_26_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Seventh Son Restaurant 
Address: 3/F, The Wharney Guang Dong Hotel HK, 57-73 Lockhart Road, Wanchai, Hong Kong Island
Tel: +852 2892 2888
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_26_tnc.pdf"
"1594348162-5","https://www.holidayhk.com/en-hk/food-and-drink/","Small Potato50% OFF50% discount on à la carte menu (excluding drinks)","https://www.holidayhk.com/en-hk/food-and-drink/food0069/","Small Potato","50% discount on à la carte menu (excluding drinks)","Orginal price : HK$68 - HK$298","/media/offer/EN_Dine_69_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Small Potato
Address: 4/F, 4 Sun Wui Road, Causeway Bay, Hong Kong Island
Tel: +852 2890 4884
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_69_tnc.pdf"
"1594348538-180","https://www.holidayhk.com/en-hk/food-and-drink/","Bo InnovationPromotion price of HK$1500 (plus 10% service charge) for designated set menuQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1140/","Bo Innovation","Promotion price of HK$1500 (plus 10% service charge) for designated set menu","Original Price $1880 + 10% service charge","/media/offer/Dine_1140_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Bo Innovation
Address: Shop 8,1/F The Podium, J Senses, 60 Johnston Road, Wan Chai, Hong Kong Island, Hong Kong 
Tel: +852 2850 8371","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1140_tnc.pdf"
"1594348400-117","https://www.holidayhk.com/en-hk/food-and-drink/","Mango Tree (Elements Shop)50% OFF50% discount on Supreme Seafood Feast (for 2 persons)Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0015/","Mango Tree (Elements Shop)","50% discount on Supreme Seafood Feast (for 2 persons)","Original price:  HK$790 per person","/media/offer/EN_Dine_15_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
Mango Tree (Elements Shop)
Address: Shop 2032, Elements, 1 Austin Road West, Tsim Sha Tsui, Kowloon
Tel: +852 2668 4884

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_15_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_15_tnc.pdf"
"1594348280-62","https://www.holidayhk.com/en-hk/food-and-drink/","Super Star Chinese CuisineGet a free designated dish of fish upon dine-in dinner spending HK$200Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1000/","Super Star Chinese Cuisine","Get a free designated dish of fish upon dine-in dinner spending HK$200","null","/media/offer/EN_Dine_1000_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Super Star Chinese Cuisine - Kwun Tong
Address: 1/F, Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong, Kowloon
Tel: +852 26280120

Super Star Chinese Cuisine - Tsuen Wan
Address: Shop 621-630, Level 6, Tsuen Wan Plaza, 4-30 Tai Pa Street, Tsuen Wan, New Territories
Tel: +852 26280686

Super Star Chinese Cuisine - Yuen Long
Address: Shop A301-A302, Level 3, YOHO Mall II, 8-9 Long Yat Road & 9 Yuen Lung Street, Yuen Long, New Territories
Tel: +852 26280866

Super Star Chinese Cuisine - Lai Chi Kok
Address: G/F, Law's Commercial Plaza, 786-788 Cheung Sha Wan Road, Lai Chi Kok, Kowloon
Tel: +852 26280323

Super Star Chinese Cuisine - Tsim Sha Tsui
Address: 3/F, Grand Centre, 8 Humphreys Avenue, Tsim Sha Tsui, Kowloon
Tel: +852 26280698

Super Star Chinese Cuisine - Mong Kok
Address: Shop 601 & 601A, 6/F, MOKO, 193 Prince Edward Road West, Mong Kok, Kowloon
Tel: +852 26280890

Super Star Chinese Cuisine - Wan Chai
Address: 1/F, Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong Island
Tel: +852 26280989
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1000_tnc3.pdf"
"1594348355-95","https://www.holidayhk.com/en-hk/food-and-drink/","Café Locomotive Contemporary Vietnamese CuisineBUY 1 GET 1 FREEBuy one, get one free Che Ba Mau-Iced Tricolour Coconut Milk or Vietnamese Drip CoffeeQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0006/","Café Locomotive Contemporary Vietnamese Cuisine","Buy one, get one free Che Ba Mau-Iced Tricolour Coconut Milk or Vietnamese Drip Coffee","null","/media/offer/EN_Dine_6_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Café Locomotive Contemporary Vietnamese Cuisine - Tai Hang
Address: G/F 11 Wun Sha Street, Tai Hang, Hong Kong Island
Tel: +852 2882 8227

Café Locomotive Contemporary Vietnamese Cuisine - Mongkok
Address: Shop 12 L4A, Langham Place, Mongkok, Kowloon
Tel: +852 2368 2008


                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_6_tnc.pdf"
"1594348413-123","https://www.holidayhk.com/en-hk/food-and-drink/","Terrace Room - Bishop Lei International HouseCASH REBATEEnjoy HK$20 cash rebate upon net purchase of HK$200 in single transaction.Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1108/","Terrace Room - Bishop Lei International House","Enjoy HK$20 cash rebate upon net purchase of HK$200 in single transaction.","null","/media/offer/Dine_1108_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Terrace Room
Address: 1/F, Bishop Lei International House, 4 Robinson Road, Mid-levels, Hong Kong Island
Tel: +852 2842 2000


                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1108_tnc.pdf"
"1594348375-105","https://www.holidayhk.com/en-hk/food-and-drink/","Golden Diamond CuisineSpecial discount on fried pigeon","https://www.holidayhk.com/en-hk/food-and-drink/food0059/","Golden Diamond Cuisine","Special discount on fried pigeon","Available from 11:30am to 2:30pm","/media/offer/EN_Dine_59_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Golden Diamond Cuisine
Address: G-2/F., Merlin Garden, 160 Electric Road, North Point, Hong Kong Island
Tel: +852 2111 9982","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_59_tnc.pdf"
"1594348532-177","https://www.holidayhk.com/en-hk/food-and-drink/","Modern China RestaurantEnjoy 10% discount upon spending HK$300 or above (excluding 10% service charge) on the à la carte menuQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1168/","Modern China Restaurant","Enjoy 10% discount upon spending HK$300 or above (excluding 10% service charge) on the à la carte menu","null","/media/offer/Dine_1168_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Modern China Restaurant - West Kowloon
Address: Shop UG06B, UG/F, Olympian City 2, 18 Hoi Ting Road, West Kowloon, Kowloon
Tel: +852 2910 1000

Modern China Restaurant – Causeway Bay
Address: Shop 1301, 13/F., Food Forum, Times Square, 1 Matheson Street, Causeway Bay, Hong Kong Island
Tel: +852 2506 2525

Modern China Restaurant – Diamond Hill
Address: Shop No. 312A, Level 3, Plaza Hollywood, Diamond Hill, Kowloon
Tel: +852 2697 3033

Modern China Restaurant – Kowloon Bay
Address: Shop Unit 603, 6/F, Telford Plaza II, Kowloon Bay, Kowloon
Tel: +852 852 2798 9066

Modern China Restaurant – Tseung Kwan O
Address: Shop 702, 7/F, Holiday Inn Express Hong Kong Kowloon East, 3 Tong Tak St. Tseung Kwan O, New Territories
Tel: +852 2331 3506





                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1168_tnc.pdf"
"1594348169-8","https://www.holidayhk.com/en-hk/food-and-drink/","NISHIMURA JAPANESE RESTAURANT - The Marco Polo Hongkong HotelBUY 1 GET 1 FREEBuy one, get one free NISHIMURA SakeQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0007/","NISHIMURA JAPANESE RESTAURANT - The Marco Polo Hongkong Hotel","Buy one, get one free NISHIMURA Sake","null","/media/offer/EN_Dine_7_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
NISHIMURA JAPANESE RESTAURANT - The Marco Polo Hongkong Hotel
Address: 6/F, The Marco Polo Hongkong Hotel, Harbour City, Canton Road, Tsim Sha Tsui, Kowloon
Tel: +852 2735 6899
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_7_tnc.pdf"
"1594348297-70","https://www.holidayhk.com/en-hk/food-and-drink/","Ten Kichi Ya SUPER OFFERPromotion Price of HK$1 for Soft Drinks and Mochi Ice-cream","https://www.holidayhk.com/en-hk/food-and-drink/food1165/","Ten Kichi Ya","Promotion Price of HK$1 for Soft Drinks and Mochi Ice-cream","Original Price HK$18","/media/offer/Dine_1165_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Ten Kichi Ya
Address: Shop 25-29, 11/F, Langham Place, 8 Argyle Street, Mong Kok, Kowloon, Hong Kong 
Tel: 3105 9826



                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1165_tnc_R.pdf"
"1594348361-98","https://www.holidayhk.com/en-hk/food-and-drink/","Café Circles - L’hotel Nina et Convention CentreBUY 1 GET 1 FREESelected complimentary dishes upon purchase of selected dishes","https://www.holidayhk.com/en-hk/food-and-drink/food0024/","Café Circles - L’hotel Nina et Convention Centre","Selected complimentary dishes upon purchase of selected dishes","null","/media/offer/EN_Dine_24_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
Café Circles - L’hotel Nina et Convention Centre
Address: 9th Floor, L’hotel Nina et Convention Centre, 8 Yeung Uk Road, Tsuen Wan, New Territories
Tel: +852 2280 2868 / 5970 0551 (WhatsApp)

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_24_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_24_tnc.pdf"
"1594348309-76","https://www.holidayhk.com/en-hk/food-and-drink/","Daikiya Japanese RestaurantLimited Time Dinner Offer (Sha Tin Store) 
Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1128/","Daikiya Japanese Restaurant","Limited Time Dinner Offer (Sha Tin Store)","(Monday - Thursday)
5:30pm-7:30pm HK$200                                                          
9:00pm-11:00pm HK$210

(Friday)
5:30pm-7:30pm HK$200                                                          
9:00pm-11:00pm HK$220

(Saturday or Public Holiday eves)
5:00pm-7:00pm HK$220                                                          
5:30pm-7:30pm HK$220
9:00pm-11:00pm HK$220

(Sunday or Public Holiday)
5:00pm-7:00pm HK$220                                                          
5:30pm-7:30pm HK$220
9:00pm-11:00pm HK$210

Subject to 10% Service Charge","/media/offer/Dine_1128_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Daikiya Japanese Restaurant - Sha Tin
Address: Shop 33-35,44-46, 1/F, Sha Tin Plaza, 21-27 Sha Tin Centre Street, Sha Tin, New Territories
Tel: +852 3188 8018","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1128_tnc_R.pdf"
"1594348253-49","https://www.holidayhk.com/en-hk/food-and-drink/","YUÈ - City Garden Hotel50% OFF50% discount on ""Taste of YUÈ"" set (for 4 persons)Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0001/","YUÈ - City Garden Hotel","50% discount on ""Taste of YUÈ"" set (for 4 persons)","#The Michelin Plate 

Special price : HK$1,320 per set (original price : HK$2,640 per set)","/media/offer/EN_Dine_1_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
YUÈ - City Garden Hotel
Address: 1/F City Garden Hotel, 9 City Garden Road, North Point, Hong Kong Island
Tel: +852 2806 4918

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1_tnc.pdf"
"1594348453-141","https://www.holidayhk.com/en-hk/food-and-drink/","Treasure Lake Seafood Restaurant - Sai WanHK$988 for Paralithodes Camtschaticus and Chinese BarbecueQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1008/","Treasure Lake Seafood Restaurant - Sai Wan","HK$988 for Paralithodes Camtschaticus and Chinese Barbecue","null","/media/offer/EN_Dine_1008_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Treasure Lake Seafood Restaurant – Sai Wan
Address: 1/F, Yip Cheung Building, No. 4-16 Hill Road, Western District, Hong Kong Island
Tel: +852 28193218

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1008_tnc.pdf"
"1594348199-23","https://www.holidayhk.com/en-hk/food-and-drink/","Matsuzaka ExpressFREE drinks with purhcase of meals (entree only).","https://www.holidayhk.com/en-hk/food-and-drink/food1121/","Matsuzaka Express","FREE drinks with purhcase of meals (entree only).","Original Price HK$29","/media/offer/Dine_1121_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Matsuzaka Express        
Address: Shop 6-7B, Ngong Ping Village, Ngong Ping, Lantau Island
Tel: +852 2511 8618","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1121_tnc.pdf"
"1594348189-18","https://www.holidayhk.com/en-hk/food-and-drink/","Tono Daikiya Japanese RestaurantLimited Time Dinner Offer ((Tsim Sha Tsui Kimberley Road Store) 
Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1158/","Tono Daikiya Japanese Restaurant","Limited Time Dinner Offer ((Tsim Sha Tsui Kimberley Road Store)","(Monday - Wednesday, except for public holiday eves or public holidays)
5:30pm-7:30pm HK$268                                                       
9:15pm-11:15pm HK$268

(Thursday - Friday, except for public holiday eves or public holidays)
5:30pm-7:30pm HK$288                                                       
9:15pm-11:15pm HK$288

(Saturday or Public Holiday eves)
5:00pm-7:00pm HK$288                                                          
5:30pm-7:30pm HK$288 
9:15pm-11:15pm HK$288
9:30pm-11:30pm HK$288

(Sunday or Public Holiday)
5:00pm-7:00pm HK$288                                                          
5:30pm-7:30pm HK$288 
9:15pm-11:15pm HK$288

Subject to 10% Service Charge","/media/offer/Dine_1158_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
TONO DAIKIYA Japanese Restaurant
Address: 1/F, 26 Kimberley Road, Tsim Sha Tsui, Kowloon
Tel: +852 3622 3000 / 3622 3009","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1158_tnc_R.pdf"
"1594348552-185","https://www.holidayhk.com/en-hk/food-and-drink/","VisaFrom casual gatherings, to fancy dining. Enjoy dining experiences up to 25% off with Visa.","https://www.visa.com.hk/en_hk/visa-offers-and-perks/?redemptionCountry=100","null","Visa Offers + Perks","null","","null","null","","null","null",""
"1594348319-81","https://www.holidayhk.com/en-hk/food-and-drink/","Daikiya Japanese RestaurantLimited Time Dinner Offer (Tsim Sha Tsui Manson Building Store)
Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1155/","Daikiya Japanese Restaurant","Limited Time Dinner Offer (Tsim Sha Tsui Manson Building Store)","(Monday - Wednesday)
5:30pm-7:30pm HK$208 
9:00pm-11:15pm HK$208 

(Thursday - Friday)
5:30pm-7:30pm HK$228 
9:00pm-11:15pm HK$228 

(Saturday or Public Holiday eves)
5:00pm-7:00pm HK$208
5:30pm-7:30pm HK$228 
9:00pm-11:15pm HK$228

(Sunday or Public Holiday)
5:00pm-7:00pm HK$208 
5:30pm-7:30pm HK$228 
9:00pm-11:15pm HK$208 

Subject to 10% Service Charge","/media/offer/Dine_1155_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Daikiya Japanese Restaurant - Tsim Sha Tsui
Address: 5/F, 74-78 Nathan Road, Manson Building, Tsim Sha Tsui, Kowloon
Tel: +852  2739 0086 / 2739 0087","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1155_tnc_R.pdf"
"1594348519-171","https://www.holidayhk.com/en-hk/food-and-drink/","Oishi SushiEnjoy HK$50 discount upon net purchase of HK$500 in single transaction","https://www.holidayhk.com/en-hk/food-and-drink/food1131/","Oishi Sushi","Enjoy HK$50 discount upon net purchase of HK$500 in single transaction","null","/media/offer/Dine_1131_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Oishi Sushi 
Address:  1/F, City 18, 18 Tak Hing Street, Jordan, Kowloon
Tel: +852 2845 9728

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1131_tnc.pdf"
"1594348406-120","https://www.holidayhk.com/en-hk/food-and-drink/","Eat@ease - Hotel Ease • Tsuen WanBUY 1 GET 1 FREEBuy one, get one free semi buffet dinner","https://www.holidayhk.com/en-hk/food-and-drink/food0065/","Eat@ease - Hotel Ease • Tsuen Wan","Buy one, get one free semi buffet dinner","null","/media/offer/EN_Dine_65_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Eat@ease - Hotel Ease • Tsuen Wan
Address: 1/F, Hotel Ease • Tsuen Wan, 15-19 Chun Pin Street, Kwai Chung, New Territories
Tel: +852 3958 8355
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_65_tnc.pdf"
"1594348432-132","https://www.holidayhk.com/en-hk/food-and-drink/","KAR KARCASH REBATEEnjoy HK$15 cash rebate upon net purchase of HK$100 in single transaction","https://www.holidayhk.com/en-hk/food-and-drink/food1196/","KAR KAR","Enjoy HK$15 cash rebate upon net purchase of HK$100 in single transaction","null","/media/offer/Dine_1196_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
KAR KAR 
Address: Shop No.36, Level 1, TMTL 194, Waldorf Garden, Tuen Mun, New Territories, Hong Kong
Tel: 2690 9703","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1196_tnc.pdf"
"1594348442-137","https://www.holidayhk.com/en-hk/food-and-drink/","Sichuan Lab - Lodgewood by L’hotel Wan Chai Hong KongBUY 1 GET 1 FREESelected complimentary dishes upon purchase of selected dishes","https://www.holidayhk.com/en-hk/food-and-drink/food0023/","Sichuan Lab - Lodgewood by L’hotel Wan Chai Hong Kong","Selected complimentary dishes upon purchase of selected dishes","null","/media/offer/EN_Dine_23_logo2.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
Sichuan Lab - Lodgewood by L’hotel Wan Chai Hong Kong
Address: G/F, Lodgewood by L’hotel Wan Chai Hong Kong, 28 Tai Wo Street, Wan Chai, Hong Kong Island
Tel: +852 3126 6633

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_23_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_23_tnc.pdf"
"1594348421-127","https://www.holidayhk.com/en-hk/food-and-drink/","Mike's Chicken Comida de PortugalCASH REBATEEnjoy HK$100 cash rebate upon purchase of HK$500 in single transaction","https://www.holidayhk.com/en-hk/food-and-drink/food1169/","Mike's Chicken Comida de Portugal","Enjoy HK$100 cash rebate upon purchase of HK$500 in single transaction","null","/media/offer/Dine_1169_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Mike’s Chicken Comida de Portugal 
Address:  Shop 167 1/F mira place 2, 118-130 Nathan Road, Tsim Sha Tusi, Kowloon
Tel: +852 23923328

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1169_tnc.pdf"
"1594348220-33","https://www.holidayhk.com/en-hk/food-and-drink/","Neptune's RestaurantBUY 1 GET 1 FREEBuy one, get one free main courseQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0055/","Neptune's Restaurant","Buy one, get one free main course","Available on Monday, Wednesday to Friday after 6:30pm (except Tuesday, Saturday, Sunday and public holidays)","/media/offer/EN_Dine_55_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Neptune's Restaurant
Address: Aqua City, Waterfront, Ocean Park Hong Kong, 180 Wong Chuk Hang Road, Aberdeen, Hong Kong Island
Tel: +852 3923 2161
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_55_tnc.pdf"
"1594348502-164","https://www.holidayhk.com/en-hk/food-and-drink/","Spasso Italian Bar Restaurant Terrace50% OFF50% discount on main course itemsQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0012/","Spasso Italian Bar Restaurant Terrace","50% discount on main course items","Enjoy the offer with a minimum spending of HK$300 per person on food a la carte","/media/offer/EN_Dine_12_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Spasso Italian Bar Restaurant Terrace
Address: G5-8, 12-17, Empire Centre, 68 Mody Road, Tsim Sha Tsui East, Kowloon 
Tel: +852 2730 8027 
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_12_tnc.pdf"
"1594348470-149","https://www.holidayhk.com/en-hk/food-and-drink/","Modern Shanghai (Olympian City outlet)BUY 1 GET 1 FREEBuy one, get one free Seafood Treasure Set menuQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0057/","Modern Shanghai (Olympian City outlet)","Buy one, get one free Seafood Treasure Set menu","Original price : HK$298 per person","/media/offer/EN_Dine_57_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details.

Outlet Address
Modern Shanghai
Address: G19-21, G/F, Olympian City 3, 1 Hoi Wang Road, Tai Kok Tsui, Kowloon
Tel: +852 2869 2228	

Menu
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_57_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_57_tnc.pdf"
